rowname	genename	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name.GENENAME	MUT_12DPA_R1	MUT_12DPA_R2	MUT_12DPA_R3	WT_12DPA_R1	WT_12DPA_R2	MUT_14DPA_R1	MUT_14DPA_R2	MUT_14DPA_R3	WT_14DPA_R1	WT_14DPA_R2
ENSMUSG00000001131	Timp1	722.638791979658	2.67308382920442	0.523311048760487	5.10802100497569	3.25550468240815e-07	6.17573516693867e-06	Timp1	10.5	3.94	34.02	21.36	20.57	1.17	4.96	3.7	16.61	15.64
ENSMUSG00000001227	Sema6b	197.252427518536	1.60319526375909	0.31962291342125	5.01589590870835	5.27869035237453e-07	9.45888585683242e-06	Sema6b	0.41	0.47	1.22	0.58	0.99	0.25	0.41	0.27	0.62	0.86
ENSMUSG00000001240	Ramp2	403.281973237755	1.81979290980157	0.443293850594973	4.10516163794989	4.04032271510747e-05	0.000389509678630701	Ramp2	1.92	2.09	4.81	6.09	7.94	1.1	3.54	2.1	5.2	8.6
ENSMUSG00000001334	Fndc5	27.0641628264309	4.15405069604321	1.02791346164353	4.04124554357065	5.31680516515968e-05	0.000492246253133559	Fndc5	0.03	0.01	0.02	0.29	0.33	0.01	0.03	0	0.16	0.18
ENSMUSG00000001349	Cnn1	51.3158919419045	3.79649653241806	0.606146746284848	6.26332906294933	3.76844213907475e-10	1.43146708813945e-08	Cnn1	0.45	0.12	0.49	0.73	0.7	0.03	0.09	0.02	0.63	0.58
ENSMUSG00000001493	Meox1	175.321010434384	2.09012167300045	0.479362852174753	4.36020785406728	1.29938957480341e-05	0.000147791602211522	Meox1	0.36	0.43	0.66	1.26	1.39	0.16	0.45	0.4	1.12	1.14
ENSMUSG00000001494	Sost	22.994061590196	3.06778633218487	1.20284129111987	2.55044980151015	0.0107584015968318	0.0359625053798939	Sost	0.02	0.03	0.01	0.12	0.01	0	0.06	0.02	0.23	0.13
ENSMUSG00000001497	Pax9	247.914844364395	1.61013549429968	0.239198732172748	6.7313713566711	1.6807139347077e-11	8.63636759070835e-10	Pax9	0.36	0.56	0.38	0.65	0.99	0.44	0.39	0.32	0.73	1.05
ENSMUSG00000001504	Irx2	345.193038062375	-2.1714651085134	0.435540853153605	-4.98567492071192	6.1745887075712e-07	1.07973699888563e-05	Irx2	2.93	4.8	4.73	0.29	0.61	3.14	1.54	1.77	0.17	0.56
ENSMUSG00000001804	Dsg4	11879.6401802595	4.59283011294567	0.325165242555166	14.1246034688547	2.67903577149947e-45	1.28902212060208e-42	Dsg4	4.42	6.36	7.32	47.53	109.47	3.67	3.13	2.78	32.91	96.59
ENSMUSG00000001930	Vwf	1289.76182051135	1.77025543409	0.411936537086559	4.29739844542613	1.72814392231861e-05	0.000188063330450384	Vwf	0.62	0.83	1.76	1.11	1.82	0.53	1.21	0.53	1.79	2.14
ENSMUSG00000001946	Esam	487.09174023557	2.11574812460504	0.403742624888189	5.24033875588678	1.60282087651452e-07	3.3354639419787e-06	Esam	1.38	1.94	2.5	3.83	6.53	0.64	1.84	1.33	3.35	5.18
ENSMUSG00000002020	Ltbp2	2206.60626307479	1.81666157026858	0.316794116019933	5.73451803048725	9.77900221197769e-09	2.76282913028081e-07	Ltbp2	2.8	3.06	4.34	5.48	6.57	1.42	2.16	1.1	4.32	4.6
ENSMUSG00000002289	Angptl4	377.52584620758	2.46464192270741	0.376402439687329	6.54789040356578	5.83555173168998e-11	2.64733972559353e-09	Angptl4	1.24	0.57	2.64	1.1	1.25	0.43	0.56	0.83	1.96	4.05
ENSMUSG00000002732	Fkbp7	440.76458998101	1.70754328794086	0.437517870110506	3.90279667321835	9.50875782923589e-05	0.000786354462565664	Fkbp7	5.55	3.37	6.58	12.07	12.57	1.91	5.34	3.2	8.78	8.56
ENSMUSG00000002847	Pla1a	77.9674388679137	3.24958958110477	0.67930190254411	4.78371924020007	1.72081004520912e-06	2.6046732028437e-05	Pla1a	0.34	0.6	0.32	0.41	0.4	0.09	0.19	0.03	0.99	0.58
ENSMUSG00000003228	Grk5	366.127476991903	1.94013224984851	0.388074173728538	4.99938512065391	5.75134263240744e-07	1.01919440086345e-05	Grk5	0.34	0.68	0.78	0.95	1.12	0.14	0.39	0.41	0.88	1.06
ENSMUSG00000003484	Cyp4f18	71.7133772074705	-3.58884295877755	0.847555346133012	-4.23434643548851	2.29217354501507e-05	0.00023865660031311	Cyp4f18	0.46	1.1	4.28	0.2	0.02	0.7	0.81	0.97	0.16	0
ENSMUSG00000003555	Cyp17a1	475.243598924199	-1.7389808477123	0.274738285930426	-6.32959051128638	2.45812668250549e-10	9.58971387342067e-09	Cyp17a1	2.98	4.49	2.79	0.81	0.99	3.43	4.15	3	0.77	1.37
ENSMUSG00000003559	As3mt	48.0756296804693	2.06746767730553	0.652387751275059	3.16907801114409	0.0015292334368048	0.00757602761609566	As3mt	0.22	0.29	0.43	0.49	0.54	0.05	0.16	0.17	0.44	0.38
ENSMUSG00000003623	Crot	2130.20245650349	1.64988156650902	0.30683611979607	5.37707740407344	7.57046330254418e-08	1.70744057269597e-06	Crot	6.33	4.63	5.57	7.14	11.02	3.3	4.4	3.47	5.71	14.08
ENSMUSG00000004113	Cacna1b	40.0882145631259	2.49427284559716	0.541580864224551	4.60554094570627	4.11395024497955e-06	5.54536904519062e-05	Cacna1b	0.02	0.03	0.02	0.16	0.51	0.01	0.05	0.02	0.08	0.13
ENSMUSG00000004360	9330159F19Rik	99.5158129550181	2.09681714559187	0.375361604936039	5.58612579981154	2.32191069301876e-08	5.92721832536203e-07	9330159F19Rik	0.11	0.16	0.1	0.08	0.3	0.11	0.12	0.09	0.29	0.38
ENSMUSG00000004366	Sst	5.21081419165661	5.16930599776341	1.86212520586405	2.77602493188141	0.00550279885315926	0.0210639923313555	Sst	0	0.05	0	0.24	0.09	0	0	0.02	0.14	0.24
ENSMUSG00000004415	Col26a1	635.354424825891	2.96696664291337	0.351523532149855	8.44030732385947	3.16504379188772e-17	3.72256039463653e-15	Col26a1	1.4	0.51	0.18	3.64	6.65	0.54	1.03	0.43	3.74	4.13
ENSMUSG00000004473	Clec11a	773.346505798149	1.58956796243692	0.338023117963882	4.70254215750641	2.56942145376875e-06	3.71898576508114e-05	Clec11a	2.12	1.51	3.2	4.49	4.92	0.95	1.88	1.33	3.25	3.3
ENSMUSG00000004651	Tyr	144.765740188136	-10.3093423114962	1.52136630369177	-6.77637087562629	1.23232096159744e-11	6.47907027425301e-10	Tyr	0.15	0.12	1.22	0	0	0.74	0.69	0.31	0	0
ENSMUSG00000004655	Aqp1	7059.15678356734	1.5207405738135	0.413591360613224	3.67691571593449	0.000236070996730415	0.00167136283319037	Aqp1	11.61	21.89	17.41	34.68	40.38	7.17	20.44	17.24	31.96	35.96
ENSMUSG00000004661	Arid3b	108.734674767012	2.64736726857794	0.460040454894466	5.75464014177893	8.68265510566284e-09	2.48850537486849e-07	Arid3b	0.3	0.26	0.43	0.93	1.47	0.08	0.11	0.1	0.38	1.01
ENSMUSG00000004730	Emr1	175.234610283439	1.50074285134638	0.478539261237168	3.13609137830511	0.00171215847188049	0.0082706578084936	Emr1	0.42	0.42	0.46	0.77	1.14	0.18	0.5	0.44	1.11	0.7
ENSMUSG00000004891	Nes	797.218245258258	1.69427215512962	0.335925179056035	5.04359976793226	4.56854387170946e-07	8.32828238748597e-06	Nes	1.98	1.53	1.06	3.07	2.89	0.49	0.85	0.6	1.94	1.51
ENSMUSG00000004892	Bcan	43.8842240929768	3.98281582223853	1.37227706610958	2.90234087605199	0.00370385272370305	0.0154073286735544	Bcan	0.08	0.07	0.09	0.27	0.34	0	0.08	0	0.55	0.34
ENSMUSG00000005124	Wisp1	1366.38343194933	2.06073502880958	0.417417583574992	4.93686684485191	7.93876338040469e-07	1.34933736119545e-05	Wisp1	2.89	2.06	4.54	7.17	8.57	0.56	1.78	1.18	3.21	4.66
ENSMUSG00000005131	4930550C14Rik	37.5853906892664	3.72868084856965	0.772519347851087	4.8266504378715	1.38848518826399e-06	2.19366843972693e-05	4930550C14Rik	0.1	0.07	0.11	0.28	0.57	0.02	0.09	0.07	0.23	0.45
ENSMUSG00000005220	Corin	78.8431787151538	3.71533181378481	0.447605190905781	8.30046632449995	1.0370353157417e-16	1.12781142077717e-14	Corin	0.04	0.08	0.17	0.33	0.78	0.03	0.04	0.02	0.22	0.47
ENSMUSG00000005360	Slc1a3	718.570087580172	1.96783792214303	0.416817948935469	4.72109688934649	2.3457615652478e-06	3.4233457842835e-05	Slc1a3	1.44	1.48	1.04	1.37	2.21	0.76	0.64	1.41	1.67	4.19
ENSMUSG00000005611	Mrvi1	88.6573393476261	1.85822335536673	0.415560828342946	4.47160374276956	7.76351819553777e-06	9.57802190433168e-05	Mrvi1	0.24	0.27	0.1	0.3	0.21	0.11	0.18	0.07	0.31	0.21
ENSMUSG00000005917	Otx1	1274.05697325571	-1.78021120054252	0.237696558440179	-7.48942774865857	6.91745512260858e-14	5.35782207008678e-12	Otx1	5.59	6.85	8.53	2.19	2.11	7.29	4.76	6.38	1.15	1.42
ENSMUSG00000005994	Tyrp1	454.008641163122	-7.52285893019115	0.628763206460662	-11.9645342680557	5.45025344464784e-33	1.51823024901962e-30	Tyrp1	0.69	0.85	8.97	0.01	0	4.26	4.29	2.4	0.01	0.03
ENSMUSG00000006014	Prg4	222.665163221183	2.33585428039702	0.531826438127675	4.39213644327373	1.1224221946658e-05	0.000130562781002956	Prg4	2.31	0.57	29.46	2.89	2.46	0.42	1.01	0.81	1.06	4.6
ENSMUSG00000006204	5430419D17Rik	6.62057763038583	-4.32624418486607	1.79221472353541	-2.41390952102654	0.0157823809722828	0.0484799081210886	5430419D17Rik	0.06	0.02	0.02	0	0.01	0.01	0.01	0.01	0.01	0
ENSMUSG00000006221	Hspb7	45.0597220703039	2.2544622512933	0.759396039655253	2.96875692466973	0.00299007021356331	0.0129716761887864	Hspb7	0.06	0.05	0.21	0.26	0.29	0.03	0.12	0.04	0.23	0.24
ENSMUSG00000006241	Ccdc159	17.2425012501226	1.8635744777161	0.731894994462414	2.54623203029954	0.010889278096282	0.0362701820039364	Ccdc159	0.19	0.26	0.08	0.24	0.24	0.05	0.06	0.09	0.2	0.18
ENSMUSG00000006344	Ggt5	46.6536782544215	1.73092909428134	0.475835205076393	3.63766504835103	0.000275120890215087	0.00188934755908752	Ggt5	0.38	0.15	0.51	0.59	0.22	0.14	0.13	0.05	0.26	0.36
ENSMUSG00000006386	Tek	624.801027026728	1.94642089577698	0.299424537148964	6.50053904837007	8.0032711280268e-11	3.46255964498119e-09	Tek	0.72	0.97	1.22	1.81	3.33	0.43	0.84	0.85	1.44	2.47
ENSMUSG00000006395	Hyi	635.62408037534	-1.51567075830101	0.204236832877437	-7.42114307662893	1.16113797707594e-13	8.65565671362052e-12	Hyi	6.04	12.36	15.96	7.52	5.17	12.68	12.35	10.05	2.65	4.16
ENSMUSG00000006403	Adamts4	431.010522743483	2.26378893771384	0.455524966513618	4.96962648400999	6.70819998391988e-07	1.16407430977792e-05	Adamts4	1.08	1.31	2.59	2.54	3.64	0.22	0.54	0.34	1.56	1.14
ENSMUSG00000006570	Defb2	5.14582776879813	-5.48605032589824	2.07908542377021	-2.63868442497656	0.00832284164630136	0.029327580927646	Defb2	0	1.26	1.38	0	0.36	0.99	0.36	1.42	0	0
ENSMUSG00000006651	Aplp1	998.711469262803	1.59794492729116	0.226330521484394	7.06022730302125	1.66230461594628e-12	1.02700671953288e-10	Aplp1	3.76	3.72	4.23	9.24	11.28	1.89	2.57	2.6	4.65	7.15
ENSMUSG00000006948	Klk4	30.1437502629404	-1.8019117297648	0.640080931636481	-2.81513108843579	0.00487573408726784	0.0191011364020821	Klk4	0.05	0.53	0.33	0.63	0.18	0.36	0.28	0.47	0.09	0.08
ENSMUSG00000006958	Chrd	114.644849265518	1.67179630416371	0.550330409131863	3.03780470136284	0.00238308344849666	0.0108141180323607	Chrd	0.29	0.6	0.24	0.48	0.46	0.08	0.28	0.16	0.5	0.52
ENSMUSG00000007480	Mc5r	146.156465782018	2.32715571190757	0.402968520767874	5.77503103089313	7.69389043431081e-09	2.25394081763814e-07	Mc5r	0.22	0.2	0.24	0.24	0.52	0.19	0.18	0.19	0.4	0.76
ENSMUSG00000007682	Dio2	381.815083236075	1.70873464781029	0.4388512482734	3.89365338376745	9.87457167720797e-05	0.000807771504846513	Dio2	0.42	0.53	0.44	0.58	0.64	0.2	0.47	0.29	0.52	1.22
ENSMUSG00000007783	Cpt1c	185.287570815967	1.73230258785161	0.407897828169068	4.24690319050582	2.16745556258231e-05	0.000227461066904705	Cpt1c	0.73	0.57	0.45	0.98	1.34	0.26	0.45	0.38	1.09	0.89
ENSMUSG00000007908	Hmgcll1	93.2914001297679	2.45826911692503	0.445045009946084	5.52364156879961	3.32044510012674e-08	8.09862170504031e-07	Hmgcll1	0.22	0.17	0.22	0.6	0.65	0.06	0.13	0.15	0.49	0.52
ENSMUSG00000008496	Pou2f2	44.4533065929331	3.06598713942103	0.545889713768939	5.61649553396565	1.94869284349596e-08	5.08903700148501e-07	Pou2f2	0.03	0.03	0.02	0.28	0.56	0.01	0.04	0.03	0.15	0.2
ENSMUSG00000009047	Gm5965	9015.70815445326	2.93067766187491	0.888781900162991	3.29740925342591	0.000975812016868666	0.00524152341131281	Gm5965	81.94	344.52	222.97	601.88	1521.61	56.91	9.2	46.36	186.59	262.43
ENSMUSG00000009292	Trpm2	61.2323655036669	3.14668589209969	0.557377169322617	5.64552347187789	1.64679400556373e-08	4.37254100674596e-07	Trpm2	0.03	0.1	0.2	0.45	0.83	0.03	0.09	0.01	0.34	0.22
ENSMUSG00000009356	Lpo	265.691757505475	-2.90338841333933	1.15333173297733	-2.51739229080624	0.0118227111738764	0.0386984086163233	Lpo	6.98	3.56	0.23	0.21	0.43	0.31	0.8	3.29	0.09	0.75
ENSMUSG00000009378	Slc16a12	18.5343539712644	2.44723801144758	0.801818409575635	3.05211003167511	0.00227238785966379	0.0104099753132549	Slc16a12	0.01	0.02	0.03	0.06	0.05	0.02	0.01	0.02	0.19	0.09
ENSMUSG00000009545	Kcnq1	37.1910936490448	2.80002649128447	0.662112266356291	4.22893009775135	2.34805281450499e-05	0.000243516542055586	Kcnq1	0.06	0.08	0.06	0.39	0.34	0.29	0.05	0.19	0.63	0.32
ENSMUSG00000009585	Apobec3	241.048907339803	1.51512050829919	0.315709441685083	4.79909786736915	1.59381903428813e-06	2.46653592850165e-05	Apobec3	1.4	0.75	1.53	1.33	1.88	0.47	0.85	0.88	1.27	2.01
ENSMUSG00000009731	Kcnd1	48.8054362204442	1.50466933584835	0.486921405060342	3.09016880385836	0.00200042767795347	0.0094056235328828	Kcnd1	0.07	0.07	0.13	0.12	0.23	0.05	0.11	0.04	0.11	0.11
ENSMUSG00000009876	Cox4i2	309.2119700296	2.40807092356467	0.366720597816286	6.56650032178184	5.15115362204506e-11	2.37072513654584e-09	Cox4i2	2.36	2.7	1.87	10.79	20.83	1.45	3.05	1.76	6.96	10.57
ENSMUSG00000010064	Slc38a3	121.885783906724	1.78570125515737	0.36188183864322	4.93448707415764	8.03616671270674e-07	1.36177433366444e-05	Slc38a3	0.48	0.59	0.51	1.1	3.84	0.21	0.28	0.28	0.52	1.26
ENSMUSG00000010461	Eya4	192.554676904581	1.72650919973901	0.603683441273495	2.85995785489306	0.00423697311636765	0.0171313112150969	Eya4	0.3	0.41	0.41	0.83	0.76	0.12	0.43	0.2	0.69	0.48
ENSMUSG00000010476	Ebf3	192.065883288507	1.54243657584428	0.329124048599823	4.68649004047623	2.77930337823957e-06	3.96138052420897e-05	Ebf3	0.17	0.32	0.65	0.64	0.81	0.19	0.27	0.22	0.64	0.56
ENSMUSG00000010505	Myt1	10.0781947731065	-6.4584820460095	1.83772516217829	-3.51438951750225	0.000440765978406494	0.00275314012790649	Myt1	0.08	0.21	0.13	0	0	0.05	0.05	0.09	0	0
ENSMUSG00000010529	Gm266	200.90989831651	3.9373123970833	0.722087072834605	5.45268367930629	4.96152804016636e-08	1.16434037495955e-06	Gm266	0.93	1.14	1.63	2.99	1.45	0.57	0.2	0.07	3.85	2.38
ENSMUSG00000010830	Kdelr3	708.704362209327	1.54474677917947	0.471946489801955	3.27313967273641	0.00106359905352878	0.00560312732977105	Kdelr3	5.64	3.92	7.88	10.84	13.89	1.4	4.5	3.21	7.26	6.41
ENSMUSG00000012519	Mlkl	109.539244963437	2.08147421754206	0.335199186383866	6.20966369279423	5.30981133912011e-10	1.95160149172567e-08	Mlkl	0.85	0.36	0.84	1.05	1.2	0.24	0.27	0.24	0.59	1.09
ENSMUSG00000013483	Card14	2167.23177100069	-1.78760701811364	0.249796859430434	-7.15624296554245	8.29181290606929e-13	5.41800021903573e-11	Card14	5.95	8.02	6.37	2.83	3.5	8.26	5	7.23	1.46	1.7
ENSMUSG00000013523	Bcas1	20.7990060324841	2.72534946620277	0.69196167684625	3.93858440054669	8.19637623534497e-05	0.000700961113055921	Bcas1	0.11	0.15	0.13	0.35	0.59	0.09	0.04	0.02	0.13	0.17
ENSMUSG00000013584	Aldh1a2	288.372976519454	1.7765679664493	0.467254665283254	3.80214067070327	0.000143451234366062	0.0010945308501991	Aldh1a2	0.7	1.02	1.08	1.61	1.83	0.36	1.03	0.54	1.69	1.76
ENSMUSG00000014725	Adam28	79.9046931465752	-2.0599929665524	0.647170781942383	-3.18307473704182	0.00145719995940722	0.00727134536626894	Adam28	0.6	0.28	0.68	0.08	0.06	0.78	0.24	0.55	0.13	0.09
ENSMUSG00000014782	Plekhg4	139.162751524443	1.66388280252103	0.498802411826638	3.33575532730047	0.00085067996878913	0.0046915931033115	Plekhg4	0.32	0.27	0.46	0.93	1.65	0.12	0.29	0.2	0.55	0.46
ENSMUSG00000014786	Slc9a5	103.96832963292	1.91791812212804	0.399952988184446	4.79535890164059	1.62383834819547e-06	2.50080555699783e-05	Slc9a5	0.27	0.3	0.34	0.47	0.55	0.1	0.14	0.14	0.39	0.35
ENSMUSG00000015090	Ptgds	36.0293606214652	-5.18230111010197	1.05453801196435	-4.91428573584424	8.91067145325194e-07	1.48930148773404e-05	Ptgds	0.16	0.13	1.95	0.02	0	0.83	1.29	0.71	0.04	0
ENSMUSG00000015365	Mov10l1	4.13422002170192	5.85628607717074	2.22116226308235	2.63658633793096	0.00837448857939283	0.0294703301559396	Mov10l1	0.02	0.02	0.04	0.01	0.07	0	0	0	0.05	0.04
ENSMUSG00000015468	Notch4	423.867285022017	2.22125322520151	0.244470822007764	9.08596456198346	1.02783225458739e-19	1.49724041636133e-17	Notch4	0.73	0.83	1.11	2.69	3.26	0.58	0.59	0.34	2.2	2.64
ENSMUSG00000015568	Lpl	365.002981624719	1.84495268422255	0.455003192048951	4.0548126177191	5.01745074178829e-05	0.000469458355203974	Lpl	0.5	0.51	0.95	1.32	1.53	0.24	0.84	0.46	1.43	1.38
ENSMUSG00000015652	Steap1	152.445292251039	3.44915801707655	0.436018493179279	7.91057735172335	2.56197930014471e-15	2.40704777086969e-13	Steap1	0.98	0.62	1.33	1.75	2.66	0.23	0.38	0.23	1.48	3.52
ENSMUSG00000015653	Steap2	1995.12125065594	2.01902512851027	0.256935156928338	7.85811156654359	3.89967896665272e-15	3.59994782747162e-13	Steap2	2.71	3.17	3.9	4.42	6.26	1.91	2.07	1.81	3.86	8.4
ENSMUSG00000015852	Fcrls	75.0198981878986	4.60764879448051	0.839847995116893	5.48628897285061	4.10465238791153e-08	9.78583642871761e-07	Fcrls	0.01	0.03	0.04	0.61	0.89	0.01	0.07	0.02	0.69	0.8
ENSMUSG00000016087	Fli1	590.97467103696	1.78700693638549	0.342057835240472	5.2242830079574	1.74831212361763e-07	3.56808481989726e-06	Fli1	0.85	1.15	1.55	2.09	2.76	0.67	1.29	0.82	2.1	2.62
ENSMUSG00000016283	H2-M2	65.7910270615409	-2.23368730200131	0.587521364061231	-3.80188268654775	0.00014360072230772	0.00109514518194139	H2-M2	1.21	0.36	0.36	0.11	0.11	0.4	1	0.86	0.12	0.15
ENSMUSG00000016494	Cd34	1719.74400664406	2.00126021290134	0.396262073970003	5.05034507302568	4.41012666428159e-07	8.07012290256953e-06	Cd34	4.04	4.74	7.52	11.25	13	2.53	5.86	3.69	10.51	14.05
ENSMUSG00000016624	Phf21b	35.7594738242433	1.67487584092555	0.634670245878054	2.63897016096665	0.00831583000227449	0.0293158856074854	Phf21b	0.13	0.2	0.24	0.17	0.58	0.16	0.14	0.02	0.2	0.3
ENSMUSG00000016763	Scube1	427.675108486175	1.67117914828169	0.461936663205328	3.61776685289615	0.000297155889501678	0.00200264907194722	Scube1	0.92	1.44	1.05	2.65	2.85	0.3	0.94	0.53	1.4	1.57
ENSMUSG00000017002	Slpi	284.817288717761	-2.82066415597556	0.367904390357114	-7.66684016256947	1.76285232323135e-14	1.48886006320571e-12	Slpi	32.09	41.03	48.76	1.69	2.94	6.79	6.78	4.82	0.37	1.07
ENSMUSG00000017311	Pyy	49.7423496729615	1.75684866517688	0.624627817011246	2.81263276679407	0.00491377336069624	0.019226439975637	Pyy	2.29	1.08	1.58	9.4	3.19	0.88	1.19	0.45	1.29	3.72
ENSMUSG00000017667	Zfp334	336.824162283741	1.6158088306267	0.284828609098873	5.67291619946015	1.40386913828738e-08	3.76530982731875e-07	Zfp334	0.32	0.42	0.5	0.58	0.81	0.16	0.25	0.2	0.46	0.54
ENSMUSG00000017723	Wfdc2	171.437147422877	2.02495166019037	0.387906057433343	5.22021149550708	1.78718916207741e-07	3.63807557890578e-06	Wfdc2	3.74	3.27	0.92	5.68	7.2	1.68	0.84	1.13	2.96	4.61
ENSMUSG00000017817	Jph2	213.354941455743	1.90410179759825	0.397022399218176	4.79595559683243	1.61901143852465e-06	2.49821803895961e-05	Jph2	0.31	0.43	0.31	0.94	1.43	0.17	0.33	0.18	0.65	0.68
ENSMUSG00000018008	Cyth4	210.857884412952	1.64979092763711	0.448649958281444	3.67723410463838	0.000235776638644095	0.0016705316681798	Cyth4	1.22	0.99	6.92	1.92	2.51	0.38	0.92	0.68	1.14	1.55
ENSMUSG00000018169	Mfng	101.94716083224	2.18054990812567	0.416187551826398	5.23934437384428	1.61148076441755e-07	3.34909575620705e-06	Mfng	0.26	0.37	0.42	0.83	0.83	0.16	0.36	0.22	0.77	0.92
ENSMUSG00000018340	Anxa6	1996.13246219897	1.59963186928594	0.338220637000612	4.72955134693051	2.25016541569541e-06	3.29291488206559e-05	Anxa6	5.5	6.27	8.23	15.77	16.6	2.68	5.19	5.18	10.04	10.75
ENSMUSG00000018387	Shroom1	36.1497256868609	1.74297486137555	0.710694834416197	2.45249406210659	0.0141869720883137	0.0445796047532645	Shroom1	0.26	0.16	0.32	0.28	0.23	0.04	0.16	0.12	0.16	0.17
ENSMUSG00000018569	Cldn7	27.3027357750665	3.45944550287129	0.784482666103296	4.40984313911631	1.03445522915366e-05	0.000122301415699939	Cldn7	0.11	0.07	0.28	0.46	0.38	0.04	0.3	0.02	0.48	0.4
ENSMUSG00000018581	Dnah11	238.075339079618	1.76133520804146	0.406626390830642	4.33158114613139	1.4804236702253e-05	0.000164609012856003	Dnah11	0.08	0.06	0.07	0.38	0.26	0.09	0.05	0.12	0.27	0.23
ENSMUSG00000018830	Myh11	357.102192408661	2.2841826345946	0.427655879710021	5.34116971838066	9.23487459343862e-08	2.02809597226305e-06	Myh11	0.22	0.33	0.4	0.48	0.48	0.1	0.35	0.22	0.88	0.89
ENSMUSG00000018845	Unc45b	59.3767082765166	1.60621821367908	0.494246134596984	3.24983464967068	0.00115472127263563	0.0060113653661995	Unc45b	0.26	0.25	0.07	0.42	0.33	0.06	0.26	0.14	0.21	0.59
ENSMUSG00000018916	Csf2	29.2436500607774	-4.69080541868754	1.44569433518566	-3.2446730297834	0.00117585554982745	0.00610456146929846	Csf2	0.9	0.66	0.41	0	0.04	0.07	0.73	1.46	0	0.05
ENSMUSG00000018924	Alox15	37.7457184645636	1.99977115236233	0.5231211212246	3.82276889849328	0.000131961447289996	0.00102258851150344	Alox15	0.1	0.09	0.13	0.71	0.37	0.06	0.14	0.07	0.39	0.33
ENSMUSG00000018927	Ccl6	2925.96009621058	-1.51720266676934	0.300926590034508	-5.04177004297081	4.61245368530581e-07	8.3794667752043e-06	Ccl6	35.52	37.2	13.33	10.42	10.96	42.66	23.57	44.08	9.9	11.49
ENSMUSG00000018930	Ccl4	32.4515646823527	-4.57173848953918	0.993463869629484	-4.60181656253309	4.18821994688245e-06	5.63564036581353e-05	Ccl4	0.32	1.2	8.61	0.02	0.05	0.82	1.3	1.24	0.07	0
ENSMUSG00000018986	Slfn3	51.6702272064621	1.72994322146557	0.599202396209	2.88707660785483	0.00388839542860839	0.0160238626045793	Slfn3	0.16	0.24	0.38	0.54	0.5	0.07	0.19	0.18	0.31	0.42
