rowname	genename	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name.GENENAME	MUT_12DPA_R1	MUT_12DPA_R2	MUT_12DPA_R3	WT_12DPA_R1	WT_12DPA_R2	MUT_14DPA_R1	MUT_14DPA_R2	MUT_14DPA_R3	WT_14DPA_R1	WT_14DPA_R2
ENSMUSG00000001029	Icam2	96.6906241816908	1.91444880942086	0.351019253566549	5.45397094310071	4.92572542750683e-08	1.0337692131148e-06	Icam2	0.48	0.5	0.75	1.47	1.91	0.25	0.41	0.4	1.21	1.78
ENSMUSG00000001240	Ramp2	331.511898133004	1.51707395637049	0.303385219845814	5.00048735776086	5.71855779405086e-07	9.75570726567109e-06	Ramp2	1.92	2.09	4.81	6.09	7.94	1.1	3.54	2.1	5.2	8.6
ENSMUSG00000001334	Fndc5	36.1477833650437	4.2950117461168	0.688864748381852	6.2349129581762	4.52029360383719e-10	1.40853728937889e-08	Fndc5	0.03	0.01	0.02	0.29	0.33	0.01	0.03	0	0.16	0.18
ENSMUSG00000001493	Meox1	160.802313636401	1.84662729325179	0.308028975389822	5.99497917660121	2.03511518499267e-09	5.65125182662592e-08	Meox1	0.36	0.43	0.66	1.26	1.39	0.16	0.45	0.4	1.12	1.14
ENSMUSG00000001504	Irx2	443.668621873688	-2.8633900091583	0.354044722163218	-8.08765059866716	6.08265986075499e-16	4.55585643148658e-14	Irx2	2.93	4.8	4.73	0.29	0.61	3.14	1.54	1.77	0.17	0.56
ENSMUSG00000001506	Col1a1	537943.147043335	1.73085383586268	0.188558676784764	9.17939108067894	4.33535957770913e-20	4.91784685478615e-18	Col1a1	458.84	590.92	745.39	1311.27	1753.4	149.76	618.57	274.91	1015.87	788.96
ENSMUSG00000001508	Sgca	12.2164930570001	2.76367714434011	0.879954356233864	3.14070511130649	0.00168541642022443	0.0108089078198839	Sgca	0.06	0.03	0.05	0.25	0.19	0	0.2	0	0.25	0.18
ENSMUSG00000001583	Tnk1	615.339885946657	-1.76151186288192	0.21938391820563	-8.02935728967535	9.79846152587077e-16	7.17440716566897e-14	Tnk1	4.33	5.19	4.23	0.94	1.18	3.35	3.3	2.99	0.87	1.5
ENSMUSG00000001672	Marveld3	319.329670209648	1.55469539585764	0.241546996962857	6.43640954102489	1.22332685082786e-10	4.16135017089944e-09	Marveld3	1.96	1.49	1.46	4.23	3.69	1.78	1.15	1.65	2.5	3.08
ENSMUSG00000001804	Dsg4	11678.0653000041	4.05446876482541	0.31803275200926	12.7485887513477	3.17439791640037e-37	1.48090197654244e-34	Dsg4	4.42	6.36	7.32	47.53	109.47	3.67	3.13	2.78	32.91	96.59
ENSMUSG00000001946	Esam	455.459520306518	1.64120318997191	0.269989334108135	6.0787704647421	1.2110757265591e-09	3.4875563427261e-08	Esam	1.38	1.94	2.5	3.83	6.53	0.64	1.84	1.33	3.35	5.18
ENSMUSG00000002057	Foxn1	7981.26847904682	2.06545390828793	0.359485840508996	5.74557792140979	9.16075582696509e-09	2.25266296901636e-07	Foxn1	10.97	16.13	15.61	25	69.17	11.11	6.6	9.52	12.12	23.75
ENSMUSG00000002204	Napsa	131.642357671936	-1.60958639445219	0.576231509252302	-2.79329812515933	0.00521735830887342	0.0272046325920096	Napsa	2.65	0.9	1.3	0.33	0.51	1.14	1.75	1.12	0.29	0.59
ENSMUSG00000002578	Ikzf4	223.197889284674	-1.93389619508682	0.246051716772991	-7.85971429279255	3.85010621046128e-15	2.57641533624638e-13	Ikzf4	1.06	1.22	1.16	0.27	0.21	0.72	0.35	0.44	0.12	0.66
ENSMUSG00000002732	Fkbp7	471.795135339733	1.65685047487198	0.306946769159306	5.39784301822076	6.74468400594986e-08	1.36974129911877e-06	Fkbp7	5.55	3.37	6.58	12.07	12.57	1.91	5.34	3.2	8.78	8.56
ENSMUSG00000002985	Apoe	14681.062816533	-1.50117618202396	0.170045344658112	-8.82809338322187	1.06475144026916e-18	1.06007692175091e-16	Apoe	245.12	297.97	274.82	62.82	86.99	203.02	260	210.85	57.87	109.56
ENSMUSG00000003206	Ebi3	49.9606261833951	-1.66436795759866	0.608820890111283	-2.73375632247842	0.00626163653802081	0.0315197809618267	Ebi3	1.25	0.81	0.57	0.2	0.24	0.75	0.45	0.39	0.27	0.33
ENSMUSG00000003484	Cyp4f18	102.199282539194	-4.51966969730386	0.914638494380115	-4.94148204462683	7.75309575423263e-07	1.28390007581248e-05	Cyp4f18	0.46	1.1	4.28	0.2	0.02	0.7	0.81	0.97	0.16	0
ENSMUSG00000003555	Cyp17a1	344.933186434356	-1.67242335373936	0.310724725821836	-5.38233109488138	7.35273598134977e-08	1.47851567861427e-06	Cyp17a1	2.98	4.49	2.79	0.81	0.99	3.43	4.15	3	0.77	1.37
ENSMUSG00000003585	Sec14l2	955.326388141257	-1.62361775276743	0.212303334732395	-7.6476318886558	2.04714240431565e-14	1.22888754329654e-12	Sec14l2	6.27	7.36	6.02	1.47	1.85	3.42	3.16	3.04	1.06	1.64
ENSMUSG00000003617	Cp	318.563996187735	-2.17713167191553	0.592329371032679	-3.67554232220474	0.000237344688847068	0.00205917326221835	Cp	0.89	0.99	4.07	0.69	0.4	0.35	0.76	0.39	0.74	0.76
ENSMUSG00000003657	Calb2	14.3269200659554	-6.86512932983614	1.64012731302672	-4.185729531671	2.84251660146338e-05	0.000326619360089332	Calb2	0.22	0.26	0.25	0	0	0.05	0.08	0.08	0.02	0.05
ENSMUSG00000003882	Il7r	138.030306933789	-1.86496948982128	0.425571184070416	-4.38227389360247	1.17447028962599e-05	0.00014827548717025	Il7r	0.79	0.55	1.31	0.14	0.17	0.59	0.47	0.52	0.18	0.23
ENSMUSG00000004110	Cacna1e	60.3888801716923	-1.63140020476252	0.639522553329914	-2.55096586706446	0.0107424846038239	0.0479637103120693	Cacna1e	0.27	0.11	0.05	0.02	0.05	0.13	0.08	0.09	0.01	0.05
ENSMUSG00000004113	Cacna1b	66.5686646886913	3.33650342793811	0.456879424711897	7.30280955427589	2.81819954068669e-13	1.4202333981584e-11	Cacna1b	0.02	0.03	0.02	0.16	0.51	0.01	0.05	0.02	0.08	0.13
ENSMUSG00000004415	Col26a1	603.799315909214	3.41827452387476	0.96259413091907	3.55110675837079	0.00038361477750319	0.00311160560708996	Col26a1	1.4	0.51	0.18	3.64	6.65	0.54	1.03	0.43	3.74	4.13
ENSMUSG00000004651	Tyr	96.1832701990733	-9.61307001818615	2.29421937967521	-4.19012676091467	2.78798660289429e-05	0.000321392995151758	Tyr	0.15	0.12	1.22	0	0	0.74	0.69	0.31	0	0
ENSMUSG00000004655	Aqp1	5861.85947605499	1.52001164073213	0.25157335383058	6.04202161154067	1.52195073326216e-09	4.30683042854498e-08	Aqp1	11.61	21.89	17.41	34.68	40.38	7.17	20.44	17.24	31.96	35.96
ENSMUSG00000004661	Arid3b	212.090603402552	2.54774909415144	0.304116555085251	8.37754160879946	5.40446619245223e-17	4.45677393890707e-15	Arid3b	0.3	0.26	0.43	0.93	1.47	0.08	0.11	0.1	0.38	1.01
ENSMUSG00000004892	Bcan	37.0839881688287	2.62419819141716	0.698797371895558	3.75530632620836	0.000173129596826845	0.00156093873936429	Bcan	0.08	0.07	0.09	0.27	0.34	0	0.08	0	0.55	0.34
ENSMUSG00000005124	Wisp1	2241.05739731451	1.6828997912139	0.295382936712371	5.69734937957037	1.21684401521357e-08	2.93480488632306e-07	Wisp1	2.89	2.06	4.54	7.17	8.57	0.56	1.78	1.18	3.21	4.66
ENSMUSG00000005131	4930550C14Rik	30.9165348567344	3.24992799018054	0.683330649629553	4.75601085937297	1.9745585246427e-06	2.96328966823217e-05	4930550C14Rik	0.1	0.07	0.11	0.28	0.57	0.02	0.09	0.07	0.23	0.45
ENSMUSG00000005220	Corin	110.022196788713	2.74649701716531	0.703947654989889	3.90156426787836	9.55730794703312e-05	0.000934922619680863	Corin	0.04	0.08	0.17	0.33	0.78	0.03	0.04	0.02	0.22	0.47
ENSMUSG00000005237	Dnah2	18.3069298142039	-2.44141299726638	0.798129882961289	-3.05891691238028	0.00222138749923671	0.0135948270243059	Dnah2	0.05	0.06	0.1	0	0.04	0.01	0.05	0.03	0.05	0.11
ENSMUSG00000005397	Nid1	5833.61381302458	1.6651722950521	0.211725933975778	7.86475356978519	3.69824746053705e-15	2.49524729486153e-13	Nid1	4.96	7.73	6.63	13.41	18.65	3.16	6.98	5.08	10.03	10.28
ENSMUSG00000005547	Cyp2a5	8.60630005418557	-6.13128828160032	2.24719612773133	-2.72841707314181	0.00636390889203213	0.0319329761490783	Cyp2a5	0.51	0.15	0.06	0	0	0.11	0.02	0.11	0	0.1
ENSMUSG00000005583	Mef2c	1255.6525443679	2.07311713699787	0.149193026260648	13.8955364668053	6.74164917827865e-44	3.93134456367621e-41	Mef2c	2.26	1.98	2.24	6.29	7.6	0.77	3.39	1.46	4.46	3.84
ENSMUSG00000005803	Sqrdl	697.065727173545	1.61002272715522	0.381709287779026	4.21792913796553	2.46556272412982e-05	0.000287966438909812	Sqrdl	3.65	3.44	3.43	5.11	11.55	2.99	2.7	2.72	4.27	5.39
ENSMUSG00000005836	Gata6	47.6801946785777	2.89684888394159	0.523926364047127	5.52911455259583	3.21851136194915e-08	7.03505401846128e-07	Gata6	0.1	0.08	0.18	0.23	0.47	0.12	0.14	0.18	0.31	0.18
ENSMUSG00000005952	Trpv1	7.69408672144754	4.25764473700559	1.41861940622758	3.00125933588319	0.00268865475396765	0.0159481799578726	Trpv1	0.01	0.04	0	0.04	0.17	0.01	0.03	0.02	0.03	0.07
ENSMUSG00000005994	Tyrp1	279.073800244498	-9.70719501231434	2.08628965342929	-4.65285105371556	3.27376727556265e-06	4.63608604296504e-05	Tyrp1	0.69	0.85	8.97	0.01	0	4.26	4.29	2.4	0.01	0.03
ENSMUSG00000006204	5430419D17Rik	14.8732249431519	-3.8268385663813	1.23596444702655	-3.09623676925968	0.00195993793461259	0.0123036780455034	5430419D17Rik	0.06	0.02	0.02	0	0.01	0.01	0.01	0.01	0.01	0
ENSMUSG00000006386	Tek	639.207222218593	1.81618754487593	0.324039757145336	5.60482936068042	2.08460233508516e-08	4.7939981587705e-07	Tek	0.72	0.97	1.22	1.81	3.33	0.43	0.84	0.85	1.44	2.47
ENSMUSG00000006538	Ihh	20.216123110315	2.41934116984933	0.699517764223167	3.45858431849271	0.00054302227108294	0.00417835421406326	Ihh	0.08	0.03	0.05	0.17	0.16	0.04	0.04	0.04	0.09	0.08
ENSMUSG00000006586	Runx1t1	145.876925134931	1.67587460388518	0.274414199212177	6.10709871681746	1.01458491512833e-09	2.9741727996796e-08	Runx1t1	0.16	0.41	0.24	0.54	0.54	0.15	0.39	0.16	0.32	0.52
ENSMUSG00000006651	Aplp1	1319.24124836239	1.77740929976754	0.151436576622747	11.7369881134817	8.23677998025849e-32	2.74469680648287e-29	Aplp1	3.76	3.72	4.23	9.24	11.28	1.89	2.57	2.6	4.65	7.15
ENSMUSG00000007908	Hmgcll1	100.014469968766	1.73271639921436	0.394623996785732	4.39080343143748	1.12932599671405e-05	0.000143610863507376	Hmgcll1	0.22	0.17	0.22	0.6	0.65	0.06	0.13	0.15	0.49	0.52
ENSMUSG00000008496	Pou2f2	78.1826694073925	4.13228856251879	0.539040949025827	7.66600120081193	1.77441530137273e-14	1.07705029891502e-12	Pou2f2	0.03	0.03	0.02	0.28	0.56	0.01	0.04	0.03	0.15	0.2
ENSMUSG00000008540	Mgst1	1402.79659299482	-1.50646083022717	0.223551230961915	-6.73877224359288	1.59730547992376e-11	6.13949062683034e-10	Mgst1	38.82	29.63	39.95	9.63	9.71	35	24.41	31.29	8.17	15.66
ENSMUSG00000009047	Gm5965	32973.2012748849	2.66245720327159	0.773137571193361	3.44370433215658	0.000573802824621097	0.00437397409916586	Gm5965	81.94	344.52	222.97	601.88	1521.61	56.91	9.2	46.36	186.59	262.43
ENSMUSG00000009216	Fam163b	12.623563376322	-6.68625553298167	1.74812562899819	-3.82481408776864	0.000130870805905591	0.00122596587425502	Fam163b	0.07	0.05	0.16	0	0	0.05	0.03	0.02	0	0.01
ENSMUSG00000009292	Trpm2	105.086378867882	2.77960961480108	0.772096471644537	3.60008071126217	0.000318118419909596	0.00265554067499176	Trpm2	0.03	0.1	0.2	0.45	0.83	0.03	0.09	0.01	0.34	0.22
ENSMUSG00000009545	Kcnq1	43.4354654051533	2.73052169296374	0.49293222799231	5.5393450415791	3.03604948703585e-08	6.71715664286198e-07	Kcnq1	0.06	0.08	0.06	0.39	0.34	0.29	0.05	0.19	0.63	0.32
ENSMUSG00000009876	Cox4i2	386.789459755608	3.11677786989786	0.35364190874632	8.81337249011863	1.21436216238531e-18	1.1944641799655e-16	Cox4i2	2.36	2.7	1.87	10.79	20.83	1.45	3.05	1.76	6.96	10.57
ENSMUSG00000010064	Slc38a3	222.438710427259	2.08734243223373	0.57627092619498	3.6221546799456	0.000292159328938677	0.00246913950461218	Slc38a3	0.48	0.59	0.51	1.1	3.84	0.21	0.28	0.28	0.52	1.26
ENSMUSG00000010122	Slc47a1	30.7819131152045	-4.90884962396106	0.997463106038334	-4.92133452780799	8.59560603356673e-07	1.40181361540667e-05	Slc47a1	0.27	0.26	0.22	0	0.01	0.17	0.16	0.2	0	0.12
ENSMUSG00000010505	Myt1	11.9044044303025	-5.1270140798613	1.6970821278863	-3.02107599603735	0.00251878133454003	0.0151020351550458	Myt1	0.08	0.21	0.13	0	0	0.05	0.05	0.09	0	0
ENSMUSG00000011118	Panx3	385.127239746268	2.60938279873317	0.365274611167	7.1436194002002	9.09048862056977e-13	4.11162044866103e-11	Panx3	0.75	0.44	0.88	2.61	4.11	0.06	0.77	0.1	1.45	0.98
ENSMUSG00000012017	Scarf2	2977.04382714766	1.70021574143433	0.217350592019931	7.82245737466597	5.1801997981133e-15	3.38329209214376e-13	Scarf2	4.61	7.48	6.91	13.95	18.14	2.7	7.04	4.5	8.94	9.47
ENSMUSG00000013523	Bcas1	28.3713353198711	2.61142924997544	0.783971188211153	3.3310270699286	0.000865261877312997	0.00620737958381662	Bcas1	0.11	0.15	0.13	0.35	0.59	0.09	0.04	0.02	0.13	0.17
ENSMUSG00000014198	Zfp385c	26.4019287950695	-3.4106410179309	0.774837342507585	-4.40175096219954	1.07380768180772e-05	0.000137191954840034	Zfp385c	0.32	0.33	0.58	0.02	0.02	0.62	0.38	0.45	0.09	0.19
ENSMUSG00000014725	Adam28	62.5046662909963	-2.59253081247421	0.588675508776298	-4.40400657717764	1.0626971892988e-05	0.000135878776091392	Adam28	0.6	0.28	0.68	0.08	0.06	0.78	0.24	0.55	0.13	0.09
ENSMUSG00000014782	Plekhg4	196.932896690301	1.54689092131586	0.357667219139624	4.32494463718801	1.52570174388345e-05	0.000187870724540942	Plekhg4	0.32	0.27	0.46	0.93	1.65	0.12	0.29	0.2	0.55	0.46
ENSMUSG00000014846	Tppp3	4735.56381279056	-2.11605964068436	0.267312374558379	-7.91605567897953	2.45163860909382e-15	1.68904452359848e-13	Tppp3	66.45	121.43	89.31	17.14	15.48	40.08	70.77	85.51	14.71	24.55
ENSMUSG00000015090	Ptgds	19.2262553729835	-5.83411423636703	1.94906055198788	-2.9932955291803	0.00275982366886275	0.016273889803247	Ptgds	0.16	0.13	1.95	0.02	0	0.83	1.29	0.71	0.04	0
ENSMUSG00000015468	Notch4	538.072162091698	1.59202210761431	0.276087399677181	5.76637003164868	8.0997118626359e-09	2.01296948695767e-07	Notch4	0.73	0.83	1.11	2.69	3.26	0.58	0.59	0.34	2.2	2.64
ENSMUSG00000015652	Steap1	141.280867373418	1.5325544449362	0.393536553395561	3.8943128197694	9.84774996225892e-05	0.000957677554400022	Steap1	0.98	0.62	1.33	1.75	2.66	0.23	0.38	0.23	1.48	3.52
ENSMUSG00000015721	Nlrp5	4.89731360978367	6.16304394312715	2.06832838997901	2.97972216258642	0.00288509934372012	0.0168302615520765	Nlrp5	0	0	0	0.03	0.04	0	0	0	0.01	0.03
ENSMUSG00000015852	Fcrls	51.2096925454687	5.20208925738319	0.719937478613519	7.22575141858367	4.98338577140896e-13	2.37226597304856e-11	Fcrls	0.01	0.03	0.04	0.61	0.89	0.01	0.07	0.02	0.69	0.8
ENSMUSG00000015957	Wnt11	311.507150935865	2.03680329210422	0.342575301170351	5.94556374947588	2.75506998756282e-09	7.49746379282094e-08	Wnt11	1.55	1.43	0.83	3.08	5.14	0.78	2.06	1.53	3.02	2.72
ENSMUSG00000016150	Tenm1	23.3161123351885	2.89520573575225	0.724413264929174	3.99662164667197	6.42528708829721e-05	0.000666108492556932	Tenm1	0.01	0.01	0.01	0.03	0.06	0	0.02	0.01	0.02	0.14
ENSMUSG00000016200	Syt14	12.8984478150899	-2.81457340489155	1.08232845710082	-2.60047990647017	0.00930934706848818	0.0429872791103719	Syt14	0.02	0.05	0.03	0	0.01	0.01	0.01	0.01	0	0.01
ENSMUSG00000016283	H2-M2	42.0524554733575	-2.26728817863428	0.831124266243243	-2.72797735636168	0.00637239821723795	0.0319559330746503	H2-M2	1.21	0.36	0.36	0.11	0.11	0.4	1	0.86	0.12	0.15
ENSMUSG00000016494	Cd34	1467.00905193911	1.55743926090404	0.216112246291675	7.20662196441216	5.73569505461662e-13	2.70671759687226e-11	Cd34	4.04	4.74	7.52	11.25	13	2.53	5.86	3.69	10.51	14.05
ENSMUSG00000016624	Phf21b	66.859504992749	1.58745961620565	0.596545779210234	2.66108599126672	0.00778890622005991	0.037229877271996	Phf21b	0.13	0.2	0.24	0.17	0.58	0.16	0.14	0.02	0.2	0.3
ENSMUSG00000016763	Scube1	569.728543684136	1.7249841233622	0.269649023488415	6.39714581957797	1.58308131818154e-10	5.30771083434666e-09	Scube1	0.92	1.44	1.05	2.65	2.85	0.3	0.94	0.53	1.4	1.57
ENSMUSG00000017002	Slpi	1344.60607851984	-3.7601290444593	0.246369861520579	-15.2621307705903	1.3671018337505e-52	1.48813591609854e-49	Slpi	32.09	41.03	48.76	1.69	2.94	6.79	6.78	4.82	0.37	1.07
ENSMUSG00000017311	Pyy	82.0303126497077	2.20627592727976	0.598056512574933	3.68907600016032	0.000225069983905735	0.00197365343566747	Pyy	2.29	1.08	1.58	9.4	3.19	0.88	1.19	0.45	1.29	3.72
ENSMUSG00000017639	Rab11fip4	1139.96996427573	-1.54156385513387	0.274847207977943	-5.6088030381505	2.03730719943832e-08	4.71177789694459e-07	Rab11fip4	3.37	4.8	6.63	1.24	1.76	3.2	2.05	2.91	1.1	1.95
ENSMUSG00000017723	Wfdc2	236.325812584841	1.55878711243582	0.602386450897987	2.58768621059141	0.00966229554303257	0.0442541266834883	Wfdc2	3.74	3.27	0.92	5.68	7.2	1.68	0.84	1.13	2.96	4.61
ENSMUSG00000017817	Jph2	270.525695147911	2.11766669118487	0.297235857041263	7.12453306362323	1.04434119285838e-12	4.68461620796471e-11	Jph2	0.31	0.43	0.31	0.94	1.43	0.17	0.33	0.18	0.65	0.68
ENSMUSG00000017969	Ptgis	305.236757292821	1.76394348656251	0.247974686992562	7.11340140381109	1.13217375463834e-12	5.02340572438447e-11	Ptgis	1.03	0.91	1.29	2.9	2.74	0.19	1.96	0.63	3.65	2.87
ENSMUSG00000018169	Mfng	82.862427624755	1.59974841329195	0.351859837457981	4.54655019694595	5.45323685146906e-06	7.42003760923224e-05	Mfng	0.26	0.37	0.42	0.83	0.83	0.16	0.36	0.22	0.77	0.92
ENSMUSG00000018340	Anxa6	2300.66804717425	1.66365588806202	0.164631386130058	10.1053385212206	5.23145797067501e-24	1.01689578268073e-21	Anxa6	5.5	6.27	8.23	15.77	16.6	2.68	5.19	5.18	10.04	10.75
ENSMUSG00000018486	Wnt9b	27.4103494695727	1.86593957771246	0.710561992707734	2.62600532657529	0.00863934654258418	0.040442445627097	Wnt9b	0.03	0.04	0.04	0.05	0.16	0.01	0.01	0.04	0.03	0.12
ENSMUSG00000018569	Cldn7	23.1417113188139	2.16005415844314	0.689798976809526	3.13142557623654	0.00173959871280629	0.0111127416990223	Cldn7	0.11	0.07	0.28	0.46	0.38	0.04	0.3	0.02	0.48	0.4
ENSMUSG00000018581	Dnah11	203.816811607928	2.81321670427797	0.296493429237579	9.48829359055964	2.34847049761841e-21	3.22233834328684e-19	Dnah11	0.08	0.06	0.07	0.38	0.26	0.09	0.05	0.12	0.27	0.23
ENSMUSG00000018593	Sparc	94175.8654421907	1.64919495226906	0.126408665940063	13.0465339540173	6.65048330970266e-39	3.19379680825956e-36	Sparc	304.88	360.89	433.11	873.38	945.5	205.35	441.24	338.69	660.06	719.51
ENSMUSG00000018648	Dusp14	18178.4131117364	1.75374948358498	0.283395732114763	6.18834119518351	6.08006167173511e-10	1.85215013015095e-08	Dusp14	75.31	137.5	89.12	224.47	332.05	167.45	111.26	119.11	116.81	103.78
ENSMUSG00000018819	Lsp1	3049.33628566285	1.82338470552976	0.294417455711234	6.19319496911263	5.89567260367417e-10	1.80270678413468e-08	Lsp1	18.51	14	13.92	38.21	34.58	6.32	16.42	10.51	21.32	15.18
ENSMUSG00000018907	Alox12e	1404.51656040321	-4.84457786938105	0.446888521100017	-10.840685407305	2.20810476030897e-27	5.46271735247347e-25	Alox12e	19.6	7.38	11.2	0.28	0.41	7.19	6.31	5.17	0.17	4.19
ENSMUSG00000018916	Csf2	19.4036734163763	-4.82470481696952	1.30492144067426	-3.69731438735237	0.000217892428182811	0.00192206783758452	Csf2	0.9	0.66	0.41	0	0.04	0.07	0.73	1.46	0	0.05
ENSMUSG00000018924	Alox15	43.5373215437032	2.78749211341201	0.682724635052927	4.08289370310464	4.44783707902777e-05	0.000484484882097168	Alox15	0.1	0.09	0.13	0.71	0.37	0.06	0.14	0.07	0.39	0.33
ENSMUSG00000018930	Ccl4	66.0308593950015	-6.02738076189013	1.37127895203496	-4.39544467079114	1.10546220055628e-05	0.000140685789638994	Ccl4	0.32	1.2	8.61	0.02	0.05	0.82	1.3	1.24	0.07	0
ENSMUSG00000019102	Aldh3a1	982.879505326497	-2.62618819094625	0.355387464188901	-7.38964779452754	1.47218248454895e-13	7.80447909341402e-12	Aldh3a1	6.64	16.8	13.71	1.25	1.89	13.6	12.66	5.41	1.79	2.81
ENSMUSG00000019326	Aoc3	128.07460745489	1.8571948324002	0.284197091925852	6.5348833086749	6.36591554425103e-11	2.23052937782255e-09	Aoc3	0.16	0.17	0.22	0.47	0.54	0.04	0.21	0.14	0.79	0.55
ENSMUSG00000019429	Ffar3	25.7613416729892	3.30081827330625	0.942890511801337	3.50074396973222	0.000463961348279252	0.00364560197050222	Ffar3	0.07	0.07	0.02	0.13	0.65	0.03	0.04	0	0.1	0.96
ENSMUSG00000019467	Arhgef25	323.896143611467	1.67163732026427	0.19638843140773	8.51189302894176	1.7111640753171e-17	1.50214446353643e-15	Arhgef25	0.99	1.32	1.05	2.46	3.29	0.49	1.35	0.85	2.67	2.59
ENSMUSG00000019539	Rcn3	2297.13257318754	1.92721805064175	0.242636525051957	7.94281920345287	1.97636917873884e-15	1.38498523392479e-13	Rcn3	11.31	8.8	15.41	31.7	37.24	2.9	10.51	5.24	19.49	18.94
ENSMUSG00000019775	Rgs17	42.7407233309877	1.55560882553802	0.582321261281512	2.67139280148315	0.00755371954311913	0.0364019038726234	Rgs17	0.03	0.09	0.03	0.18	0.08	0.06	0.11	0.05	0.15	0.18
ENSMUSG00000019789	Hey2	77.8221117006907	2.17353280432571	0.431460316189367	5.03761927289683	4.71357840137339e-07	8.14426541138885e-06	Hey2	0.13	0.24	0.14	0.55	0.64	0.05	0.26	0.22	0.36	0.49
ENSMUSG00000019831	Wasf1	171.586110472279	1.76390721378447	0.36437867346858	4.84086293249148	1.29276520704185e-06	2.00839869653466e-05	Wasf1	0.36	0.4	0.56	0.78	1.53	0.24	0.24	0.17	0.52	0.82
ENSMUSG00000019843	Fyn	2971.10288342338	1.61444075875081	0.230701461838562	6.99796501454568	2.59706916873284e-12	1.10429545278827e-10	Fyn	6.54	9.61	9.14	15.55	24.58	6.36	5.01	4.17	8.28	9.67
ENSMUSG00000019846	Lama4	3277.46276161914	1.5319583708305	0.158302850898975	9.67738964984379	3.76198409603627e-22	5.96365789515342e-20	Lama4	3.67	4.04	4.85	8.13	10.46	1.55	3.71	2.53	7.06	6.66
ENSMUSG00000019880	Rspo3	71.5575555227934	1.89608491284195	0.578417509848106	3.27805586891702	0.00104524705567039	0.00726246549999411	Rspo3	0.21	0.08	0.14	0.29	0.58	0.03	0.23	0.07	0.2	0.33
ENSMUSG00000019890	Nts	25.6870951927883	3.47587994042817	0.88266888982702	3.93792052771833	8.21908051577135e-05	0.000825345305421369	Nts	0.05	0.01	0.13	0.61	0.42	0.08	0.11	0.14	0.67	0.5
ENSMUSG00000019899	Lama2	2694.99463284292	1.5447533782135	0.266129159052215	5.80452507990834	6.45486987829492e-09	1.62646782982715e-07	Lama2	2.38	4.46	2.9	6.53	6.62	2.65	5.22	3.59	9.03	8.94
ENSMUSG00000019906	Lin7a	23.7383995637128	2.25553709015822	0.683432115254599	3.30030889654338	0.000965784635814399	0.00679419712778005	Lin7a	0.04	0.09	0.04	0.2	0.2	0.04	0.14	0.08	0.25	0.12
